"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"66","daily","sGARCH","norm","1,3","3,2","-2.83440213974212",8.35997937542743e-14
"67","daily","sGARCH","norm","1,3","3,3","-2.83112022046338",1.66533453693773e-14
"68","daily","sGARCH","norm","1,3","3,4","-2.82763840639647",8.88178419700125e-16
"69","daily","sGARCH","norm","1,3","4,0","-2.83418884214575",3.37400744454541e-07
"70","daily","sGARCH","norm","1,3","4,1","-2.83411208033323",3.94129173741931e-14
"71","daily","sGARCH","norm","1,3","4,2","-2.83081605930503",1.94289029309402e-14
"72","daily","sGARCH","norm","1,3","4,3","-2.83372766177704",1.56541446472147e-14
"73","daily","sGARCH","norm","2,1","0,0","-2.83362306981728",0.00046192983080906
"74","daily","sGARCH","norm","2,1","0,1","-2.8403551139281",0.0386305455139387
"75","daily","sGARCH","norm","2,1","0,2","-2.84364191151873",9.96525759444644e-06
"76","daily","sGARCH","norm","2,1","0,3","-2.8422288788099",9.08628727813721e-10
"77","daily","sGARCH","norm","2,1","0,4","-2.83994453273852",3.31512595153072e-13
"78","daily","sGARCH","norm","2,1","1,0","-2.83831042344318",0.0664849225516522
"79","daily","sGARCH","norm","2,1","1,1","-2.84750770722924",3.06032976737924e-12
"80","daily","sGARCH","norm","2,1","1,2","-2.84420801066809",5.83755266347907e-13
"81","daily","sGARCH","norm","2,1","1,3","-2.84090839269059",2.07278638697517e-13
"82","daily","sGARCH","norm","2,1","1,4","-2.83605997943514",7.27318205662186e-11
"83","daily","sGARCH","norm","2,1","2,0","-2.84094282487358",0.0319889154615469
"84","daily","sGARCH","norm","2,1","2,1","-2.84420318414534",5.90083537588271e-13
"85","daily","sGARCH","norm","2,1","2,2","-2.84168815109144",2.674527266322e-13
"86","daily","sGARCH","norm","2,1","2,3","-2.83844802181371",3.05311331771918e-14
"87","daily","sGARCH","norm","2,1","2,4","-2.83448647996793",5.40987822317263e-08
"88","daily","sGARCH","norm","2,1","3,0","-2.83945907919658",0.000668865337201341
"89","daily","sGARCH","norm","2,1","3,1","-2.8409646993317",2.28039809258007e-13
"90","daily","sGARCH","norm","2,1","3,2","-2.84027044711975",2.16493489801906e-14
"91","daily","sGARCH","norm","2,1","3,3","-2.83710612271261",1.54321000422897e-14
"92","daily","sGARCH","norm","2,1","4,0","-2.83729546775961",3.89805755784955e-07
"93","daily","sGARCH","norm","2,1","4,1","-2.83740896816782",1.75415237890775e-14
"94","daily","sGARCH","norm","2,1","4,2","-2.8388506477824",1.95766472932402e-06
"95","daily","sGARCH","norm","2,1","4,3","-2.83566904772417",1.11022302462516e-16
"96","daily","sGARCH","norm","2,2","0,0","-2.8379765341983",0.00046192983080906
"97","daily","sGARCH","norm","2,2","0,1","-2.84307060416413",0.121877002350837
"98","daily","sGARCH","norm","2,2","0,2","-2.84701179534001",1.1339449946246e-05
"99","daily","sGARCH","norm","2,2","0,3","-2.83889618328743",9.08480402017631e-10
"100","daily","sGARCH","norm","2,2","0,4","-2.84312766795404",1.24985577443226e-11
"101","daily","sGARCH","norm","2,2","1,0","-2.8415476853135",0.0979210437692617
"102","daily","sGARCH","norm","2,2","1,1","-2.84946996304309",2.46376663515235e-09
"103","daily","sGARCH","norm","2,2","1,2","-2.84638982940456",1.91732740795203e-10
"104","daily","sGARCH","norm","2,2","1,3","-2.84342439686062",6.07864869550667e-11
"105","daily","sGARCH","norm","2,2","1,4","-2.84051468004081",2.21944684852815e-12
"106","daily","sGARCH","norm","2,2","2,0","-2.84444488049326",0.0310566053777008
"107","daily","sGARCH","norm","2,2","2,1","-2.84636350685284",2.11848205644571e-10
"108","daily","sGARCH","norm","2,2","2,2","-2.84332778905694",1.91021642947931e-11
"109","daily","sGARCH","norm","2,2","2,3","-2.84098039300403",6.07291994469961e-12
"110","daily","sGARCH","norm","2,2","2,4","-2.83932820118007",3.20936166753327e-07
"111","daily","sGARCH","norm","2,2","3,0","-2.84262292363386",0.00250240655318013
"112","daily","sGARCH","norm","2,2","3,1","-2.84354170833603",7.10560499328494e-11
"113","daily","sGARCH","norm","2,2","3,2","-2.84309209868224",2.38231656624066e-12
"114","daily","sGARCH","norm","2,2","3,3","-2.8370480371323",1.25688348617814e-12
"115","daily","sGARCH","norm","2,2","3,4","-2.83554834437024",1.24968924097857e-11
"116","daily","sGARCH","norm","2,2","4,0","-2.84094276094866",4.83971776987779e-07
"117","daily","sGARCH","norm","2,2","4,1","-2.84050474215219",9.35584942851619e-13
"118","daily","sGARCH","norm","2,2","4,2","-2.844127920362",7.75784592454976e-07
"119","daily","sGARCH","norm","2,2","4,3","-2.83950336837202",1.60671476123753e-12
"120","daily","sGARCH","norm","2,3","0,0","-2.8344965394439",0.00046192983080906
"121","daily","sGARCH","norm","2,3","0,1","-2.84063098712463",0.119516112122464
"122","daily","sGARCH","norm","2,3","0,2","-2.84434351068864",1.64432354105015e-05
"123","daily","sGARCH","norm","2,3","0,3","-2.84204713728055",1.47188470744908e-07
"124","daily","sGARCH","norm","2,3","0,4","-2.84011006307042",2.63302712966151e-11
"125","daily","sGARCH","norm","2,3","1,0","-2.83911806855654",0.097012624766203
"126","daily","sGARCH","norm","2,3","1,1","-2.84668842190656",3.50577666896612e-09
"127","daily","sGARCH","norm","2,3","1,2","-2.84357715790669",3.30816152249724e-10
"128","daily","sGARCH","norm","2,3","1,3","-2.84044740507045",1.01086472525935e-10
"129","daily","sGARCH","norm","2,3","1,4","-2.83750223612086",3.81827902629084e-12
"130","daily","sGARCH","norm","2,3","2,0","-2.84187073937084",0.0334010696646114
"131","daily","sGARCH","norm","2,3","2,1","-2.84354972613606",3.6432623584659e-10
"132","daily","sGARCH","norm","2,3","2,2","-2.84051746749243",3.41358052935448e-11
"133","daily","sGARCH","norm","2,3","2,3","-2.8372678275662",9.85211912052364e-12
"134","daily","sGARCH","norm","2,3","2,4","-2.83392680968732",8.61866134016509e-13
"135","daily","sGARCH","norm","2,3","3,0","-2.83980440918656",0.00272013068289667
"136","daily","sGARCH","norm","2,3","3,1","-2.84057220351073",1.18024812145734e-10
"137","daily","sGARCH","norm","2,3","3,2","-2.83734578488227",1.03549391283764e-11
"138","daily","sGARCH","norm","2,3","3,3","-2.83745407326341",1.03450581434572e-12
"139","daily","sGARCH","norm","2,3","3,4","-2.83437745132028",5.35127497869325e-14
"140","daily","sGARCH","norm","2,3","4,0","-2.8380278364603",6.51324293499123e-07
"141","daily","sGARCH","norm","2,3","4,1","-2.83746142303274",1.75481851272252e-12
"142","daily","sGARCH","norm","2,3","4,2","-2.83410050180895",2.18824958153618e-13
"143","daily","sGARCH","norm","2,3","4,3","-2.83801289788556",5.0557275033114e-09
